4-1	僕はもう夢中。
2533-0	もう北海道の北の方では紅葉が楽しめるんですよ♪
2540-0	何をー以外に購入したらいいですか？
2540-1	ー以外に何を購入したらいいですか？
2542-1	コミケが怖いならとりあえずアキバ止まりにしておくのが無難でしょう。
2542-0	コミケが怖いならアキバ止まりにとりあえずしておくのが無難でしょう。
2544-0	７号棟の近くに犯人の自転車は置いてある。
2544-1	犯人の自転車は７号棟の近くに置いてある。
2545-1	これは自分の選曲がいけないのかもしれない。
2545-0	自分の選曲がこれはいけないのかもしれない。
2547-0	一切保存料・着色料・合成甘味料を使っていません！
2547-1	保存料・着色料・合成甘味料を一切使っていません！
2551-0	スリーリバーズにこの民宿はあります。
2551-1	この民宿はスリーリバーズにあります。
2554-0	１６歳の少女にお前らがキスしたら
2554-1	お前らが１６歳の少女にキスしたら
2559-0	ブログを多くのトップアフィリエイターが模様替えします。
2559-1	多くのトップアフィリエイターがブログを模様替えします。
2560-1	そんなときにはやっぱりボンネビルやスラクストンが欲しくなります。
2560-0	ボンネビルやスラクストンがやっぱりそんなときには欲しくなります。
2564-1	やっぱウルティマオンラインっておもしろそうだな〜。
2564-0	ウルティマオンラインってやっぱおもしろそうだな〜。
2569-0	何がユーザー不在の整備工場で行なわれているのか。
2569-1	ユーザー不在の整備工場で何が行なわれているのか。
2572-0	レギュラー数絞るタイプだからさんまは昔からありえないだろ
2572-1	昔からさんまはレギュラー数絞るタイプだからありえないだろ
2575-1	昨日は親戚たちが集まる新年会がホテルでありました。
2575-0	親戚たちが集まる新年会が昨日はホテルでありました。
2580-0	結構料金的には高いが比較的配達が早い。
2580-1	料金的には結構高いが配達が比較的早い。
2586-0	氷がバスタブの水にも張っていた。
2586-1	バスタブの水にも氷が張っていた。
2590-0	無料のバスもロープウエイ乗り場までは厳島神社付近から運行されています。
2590-1	厳島神社付近からロープウエイ乗り場までは無料のバスも運行されています。
2593-0	結構自転車ＭＰ３ポータブルＤＶＤプリンタ漫画やゲームソフトは買うかな
2593-1	自転車ＭＰ３ポータブルＤＶＤプリンタ漫画やゲームソフトは結構買うかな
2594-0	テキストメールともちろんツイッターくらいまででしょうね。
2594-1	もちろんテキストメールとツイッターくらいまででしょうね。
2603-0	まずは軍師を［［成公英］］に速攻でかえよう。
2603-1	まずは速攻で軍師を［［成公英］］にかえよう。
2606-1	成績上位の方には賞品を贈呈！
2606-0	賞品を成績上位の方には贈呈！
2607-0	スコア１−０の勝利をロケ・サンタ・クルスのゴールでおさめました。
2607-1	ロケ・サンタ・クルスのゴールでスコア１−０の勝利をおさめました。
2608-1	自分で結論がだせないので非常に苦しいです
2608-0	結論が自分でだせないので非常に苦しいです
2612-0	革財布が欲しいと私は考えています。
2612-1	私は革財布が欲しいと考えています。
2613-1	どちらも京都でしか売ってないそうです。
2613-0	京都でしかどちらも売ってないそうです。
2614-0	それでテニアは満足だった。
2614-1	テニアはそれで満足だった。
2615-0	全国の不動産会社・店舗情報をリアルターｉｎｄｅｘではご紹介しております。
2615-1	リアルターｉｎｄｅｘでは全国の不動産会社・店舗情報をご紹介しております。
2620-0	ソフトも買い替えでほとんど結構な出費でした。
2620-1	ソフトもほとんど買い替えで結構な出費でした。
2621-0	罪の意識をお前ら人間なら少しは感じろよな
2621-1	お前ら人間なら少しは罪の意識を感じろよな
2623-1	一応対策はあるようです。
2623-0	対策は一応あるようです。
2624-1	チーズとウインナーは３等分にしておく。
2624-0	３等分にチーズとウインナーはしておく。
2629-0	ちょっとオレンジアイスティーで一息。
2629-1	オレンジアイスティーでちょっと一息。
2630-0	ＧｒｏｕｐＡｃｃｅｓｓへの接続がそのままこれってＩＰＩＰトンネルになるのでしょうか？
2630-1	これってＧｒｏｕｐＡｃｃｅｓｓへの接続がそのままＩＰＩＰトンネルになるのでしょうか？
2636-1	予報では午後には晴れてくるようです。
2636-0	午後には予報では晴れてくるようです。
2653-0	バーコードがシートにないよ？
2653-1	シートにバーコードがないよ？
2654-0	私はアイメイトユーザーに今年の８月からなりました。
2654-1	私は今年の８月からアイメイトユーザーになりました。
2658-1	またまたＤＶＤですみません。
2658-0	ＤＶＤでまたまたすみません。
2660-1	あなたのその態度は子供が見ていますよ。
2660-0	子供があなたのその態度は見ていますよ。
2667-0	伝言をｋｏｋｕｈ＿ｙ５５５さんに送る
2667-1	ｋｏｋｕｈ＿ｙ５５５さんに伝言を送る
2680-0	沢山サイクリスタさんを葛西臨海公園でも見ました。
2680-1	葛西臨海公園でもサイクリスタさんを沢山見ました。
2682-0	愛車紹介を次にします。
2682-1	次に愛車紹介をします。
2686-1	博物館側にはジャカランダの花が咲いていた
2686-0	ジャカランダの花が博物館側には咲いていた
2688-1	お風呂は露天のお湯がちょっとぬるかったのが残念でしたが
2688-0	お風呂はちょっと露天のお湯がぬるかったのが残念でしたが
2690-0	是非自動車保険更新時期の方は利用してみてくださいね〜。
2690-1	自動車保険更新時期の方は是非利用してみてくださいね〜。
2695-0	読書に興味がただ単に無いだけだろ
2695-1	ただ単に読書に興味が無いだけだろ
2696-1	雲は何からできているのだろうか？
2696-0	何から雲はできているのだろうか？
2697-0	上にまだいるのか。
2697-1	まだ上にいるのか。
2698-0	摩擦がそれは大きいぞ
2698-1	それは摩擦が大きいぞ
2701-1	正規の駐車スペースに空きがない場合には，吹田地区調整駐車場に
2701-0	空きが正規の駐車スペースにない場合には，吹田地区調整駐車場に
2703-0	品書きには鰻重が鰻丼と同値で並ぶ。
2703-1	品書きには鰻丼と鰻重が同値で並ぶ。
2705-0	明治があとはどうか。
2705-1	あとは明治がどうか。
2706-0	十分マズイから鳥貴族もどうでもよくない？
2706-1	鳥貴族も十分マズイからどうでもよくない？
2707-0	５ｍくらいの風もときおり吹いた。
2707-1	ときおり５ｍくらいの風も吹いた。
2710-0	合宿もまた城崎でいいなと思いつつ。
2710-1	また城崎で合宿もいいなと思いつつ。
2715-1	下り回線の通信速度は国内最速になる。
2715-0	国内最速に下り回線の通信速度はなる。
2718-0	他にストレスのない操作性は類を見ません。
2718-1	ストレスのない操作性は他に類を見ません。
2725-0	熱海−下田を平日は普通電車で運転。
2725-1	平日は普通電車で熱海−下田を運転。
2730-0	人柄が不思議と見えてくるのですね。
2730-1	不思議と人柄が見えてくるのですね。
2731-0	アマゾンはまぁ在庫切れなんですけどね。
2731-1	まぁアマゾンは在庫切れなんですけどね。
2734-0	個人家庭教師を東京でしています
2734-1	東京で個人家庭教師をしています
2736-0	ゆっくりマイペースで店主のおじさんもできます。
2736-1	店主のおじさんもマイペースでゆっくりできます。
2737-1	ＡＮＮちゃんは写真よりよっぽどかわいい。
2737-0	ＡＮＮちゃんはよっぽど写真よりかわいい。
2739-1	此方も１３年式のワゴンＲに乗っています。
2739-0	１３年式のワゴンＲに此方も乗っています。
2740-0	変更にフレッシュリーダーのブロガーライセンスの審査基準がなったそうです。
2740-1	フレッシュリーダーのブロガーライセンスの審査基準が変更になったそうです。
2743-0	みんながダンスでひとつになる！
2743-1	ダンスでみんながひとつになる！
